netName,util,cp,N,totPins,avgPins,bboxArea,bboxAr,bboxX,bboxY,bboxPerim,numPins,numVias
{text_in[16]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[15]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[14]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[13]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[12]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[11]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[10]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[9]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[8]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[7]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[6]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[5]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[4]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[3]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[2]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[1]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_in[0]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[127]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[126]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[125]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[124]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[123]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[122]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[121]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[120]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[119]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[118]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[117]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[116]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[115]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[114]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[113]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[112]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[111]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[110]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[109]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[108]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[107]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[106]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[105]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[104]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[103]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[102]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[101]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[100]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[99]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[98]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[97]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[96]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[95]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[94]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[93]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[92]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[91]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{text_out[90]},65,1600,11194,43332,3.871,0.000,0.000,0.000,0.000,0.000,2,0
